medicine,median
CLINDAMYCIN-BENZOYL PEROXIDE,13.0

EVAMIST,15.0

WARFARIN SODIUM,40.0

PRECOSE,11

RHINOCORT AQUA,13.0

ERYTHROCIN STEARATE,13.0

ZESTRIL,12.0

LEVEMIR,19.0

ATRIPLA,33.0

INSUPEN,13.5

ILEVRO,15.0

ULTRACET,12.0

CLIMARA,13.0

AVASTIN,19.0

DENAVIR,13.0

FUSILEV,14.0

CLEMASTINE FUMARATE,13.0

STAXYN,28.0

PROLASTIN C,13.0

COLYTE WITH FLAVOR PACKETS,17.0

KETOROLAC TROMETHAMINE,15.0

BENZTROPINE MESYLATE,39.0

PROMETRIUM,13.0

TERBINAFINE HCL,17.0

TRIMETHOBENZAMIDE HCL,14.5

PROGLYCEM,13.0

YAZ,13.5

FLUCONAZOLE IN DEXTROSE,17.0

WELLBUTRIN SR,12.0

FLUOXETINE DR,13.0

ALBUTEIN,13

ALTOPREV,12.0

SULFAZINE,15.0

LOTEMAX,14.0

VANOS,13.0

ZIAGEN,13.0

TENORETIC 50,12.0

ALENDRONATE SODIUM,25.0

ERYPED 200,19.0

TRAMADOL HCL ER,15.0

APRISO,18.0

ZALEPLON,15.0

SURE COMFORT,14.0

CADUET,12.0

UROCIT-K,12.0

AROMASIN,12.5

MONUROL,14.0

BIAXIN XL,15

TOBI,23.5

CICLOPIROX,20.0

PFIZERPEN,12.0

NAGLAZYME,52

FERROCITE PLUS,11.5

NAPROSYN,13.5

FENTANYL,24.0

AMBISOME,13

FASLODEX,13.0

FABB,13.0

CLINIMIX E,16.0

ELDEPRYL,12.0

DIDANOSINE,15.0

AVINZA,14.0

PROCTO-PAK,13.5

BLEPHAMIDE S.O.P.,12

VAYACOG,11

CYCLESSA,12

CARVEDILOL,43.0

ASMANEX,18.0

CYTRA-K,12.0

SELZENTRY,16.0

FORTICAL,14.0

ALVESCO,16.0

ENOXAPARIN SODIUM,17.0

M-M-R II VACCINE,11.0

DORIBAX,17.0

INSULIN SYRINGE,17.0

HYDROCODONE BIT-IBUPROFEN,15.0

ZYFLO CR,13.0

QUINAPRIL-HYDROCHLOROTHIAZIDE,12.0

ADDERALL,12.0

ZOLMITRIPTAN ODT,12.0

BUDESONIDE,18.0

EGRIFTA,14.0

INSPRA,12.0

CORTISONE ACETATE,12.0

MILRINONE IN 5% DEXTROSE,28

STALEVO 50,13.0

ALBENZA,12.0

TOPAMAX,15.0

ASACOL HD,17.0

TIMOLOL MALEATE,18.0

SYNTHROID,25.0

VANCOMYCIN,30.0

SODIUM CHLORIDE,18.0

XERESE,11

MESNEX,11.0

CEREFOLIN,14.0

URSODIOL,18.0

VENTAVIS,12.0

OXYCODONE HCL-IBUPROFEN,11.5

CORZIDE,12.5

PROCARDIA,13

SULFASALAZINE,18.0

LIDOCAINE-HYDROCORTISONE,16.0

ZONALON,13.0

ERAXIS (WATER DILUENT),20

GILDESS FE,13.0

NUVIGIL,15.0

METHYLPHENIDATE LA,12.0

NALTREXONE HCL,14.0

PAPAVERINE HCL,24.5

FERRALET 90,17

QVAR,20.0

CARISOPRODOL COMPOUND-CODEINE,12.0

RISPERIDONE ODT,15.5

BUMETANIDE,20.0

ACANYA,12

DIPROLENE AF,14

GENERESS FE,13.0

BROMOCRIPTINE MESYLATE,13.0

FEROCON,13.5

CELLCEPT,13.0

CORVITE 150,18

LITHIUM CARBONATE,31.0

HYDROCORTISONE BUTYRATE,16.0

CORVITA 150,13.5

SODIUM POLYSTYRENE SULFONATE,15.0

METANX,14.0

ZARONTIN,12.0

TOBREX,14.0

V-C FORTE,11.0

FUROSEMIDE,46.0

PAMELOR,12.0

K EFFERVESCENT,12.0

LUPRON DEPOT,13.0

FLUCYTOSINE,11

SANTYL,20.0

LOVENOX,18.0

HALDOL DECANOATE 50,11.0

SAIZEN,14.0

L-METHYLFOLATE,16

ALORA,12.0

GEODON,13.0

ALBUTEROL SULFATE,23.0

METHYLENE BLUE,15

CEFUROXIME,19.0

HUMIRA,25.0

LOTRONEX,14.0

CARDURA XL,12.0

TRICOR,13.0

BILTRICIDE,11

VFEND IV,14

TIZANIDINE HCL,25.0

ACEBUTOLOL HCL,15.0

PENTOXIFYLLINE,15.0

ARAVA,12.0

BENLYSTA,17.0

EPZICOM,30.0

DOLOPHINE HCL,11

PATANASE,16.0

FORADIL,18.0

CEFEPIME,19.5

CEREFOLIN NAC,13.5

CHLOROTHIAZIDE,13.0

MERREM,14

NEUPRO,19.0

NUTROPIN AQ,13.0

SIMBRINZA,13

LABETALOL HCL,19.0

HERCEPTIN,15.5

VIRT-VITE FORTE,14

WERA,11

MYSOLINE,12.0

L-METHYLFOLATE-MECOBALAMIN-NAC,13.0

NEOMYCIN SULFATE,14.0

IN CONTROL PEN NEEDLE,20.0

KLOR-CON,12.0

PRADAXA,29.0

OMEPRAZOLE-SODIUM BICARBONATE,13.0

VOTRIENT,14.0

DEXMETHYLPHENIDATE HCL,13.0

ARTHROTEC 50,11.0

KENALOG-40,14.0

FELBAMATE,14.0

INVEGA,22.0

CLARITHROMYCIN,15.0

HYDROCODONE-IBUPROFEN,13.0

ZYLOPRIM,12.0

DIVIGEL,13.0

MOEXIPRIL-HYDROCHLOROTHIAZIDE,12.0

PILOCARPINE HCL,18.0

AMOXICILLIN,21.0

SENSIPAR,45.0

CEFADROXIL,18.0

ESTRADIOL VALERATE,11.0

RECLAST,24.5

PROBENECID-COLCHICINE,13.0

CAMPRAL,13.0

ABILIFY MAINTENA,16.0

ALPHAGAN P,15.0

HEALTHY ACCENTS UNIFINE PENTIP,13.0

MULTIVITAMINS WITH FLUORIDE,13

ISORDIL,12.0

NYSTATIN-TRIAMCINOLONE,17.0

TALWIN,13

FLUCONAZOLE IN SALINE,16.0

VISTARIL,13

NOVOLIN R,18.0

VERAMYST,14.0

ZOCOR,12.0

CHLORTHALIDONE,20.0

ABACAVIR,19.0

JANUMET XR,16.0

OCELLA,13.0

STROMECTOL,16.0

FARESTON,14.0

ED-SPAZ,11

PERCOCET,13.0

JENTADUETO,17.0

ORSYTHIA,13.0

CIALIS,14.0

DILT-XR,14.0

DICLOXACILLIN SODIUM,14.0

FLUOCINOLONE ACETONIDE OIL,18.0

LEVOTHYROXINE SODIUM,41.0

ADVAIR DISKUS,27.0

DIFLUCAN,27.0

AZASAN,12.0

OB COMPLETE ONE,44

CLOZAPINE,36.0

HECTOROL,17.0

ACTOPLUS MET,12.0

FROVA,13.0

BUTALBITAL-ASPIRIN-CAFFEINE,13.0

MIGRANAL,14.0

TESTIM,14.0

SORIATANE,14.0

EASY TOUCH INSULIN SYRINGE,20.0

RILUTEK,17.0

NOVOFINE AUTOCOVER,18.0

AVELOX IV,13.0

VORICONAZOLE,15.0

LEUPROLIDE ACETATE,17

SIMVASTATIN,51.0

VIBRAMYCIN,17.5

HALDOL DECANOATE 100,13.0

MYFORTIC,16.0

ZENCHENT FE,12.5

METOPROLOL-HYDROCHLOROTHIAZIDE,12.0

ALLOPURINOL,27.0

SEMPREX-D,11.5

EDARBYCLOR,15.0

DEPO-PROVERA,19.0

STIVARGA,12.0

FOLGARD RX,16.0

XOPENEX CONCENTRATE,11

CYTOGAM,12

TETRACYCLINE HCL,11.5

LEVETIRACETAM,31.0

YF-VAX,22.0

AZILECT,26.0

LIDOCAINE HCL VISCOUS,15.0

SINGULAIR,13.0

SAVELLA,17.0

XTANDI,16.0

DIAZEPAM,22.0

LEVORA-28,12.0

ERBITUX,14.5

GILENYA,19.0

ELESTRIN,12.0

STERILE PADS,16

HALOPERIDOL,26.0

CEFTRIAXONE,18.0

NOVOLOG FLEXPEN,27.0

REBIF REBIDOSE,14.0

LOTREL,12.0

FLUVOXAMINE MALEATE,18.0

PROMETHAZINE VC-CODEINE,13.0

DOXY 100,25.5

COSOPT,12.5

BROMDAY,13.0

NEUPOGEN,15.0

BETAMETHASONE VALERATE,16.0

DOXAZOSIN MESYLATE,20.0

PROLEUKIN,12

GENTAK,15.5

PREDNISOLONE,15.5

TESTOPEL,26

LUVOX CR,13.0

SPIRIVA,27.0

CLOTRIMAZOLE-BETAMETHASONE,18.0

GRISEOFULVIN ULTRAMICROSIZE,22.0

ERYTHROMYCIN,16.0

TRIZIVIR,15.0

MONTELUKAST SODIUM,26.0

SYMBYAX,13.0

CYANOCOBALAMIN INJECTION,14.0

CHANTIX,13.0

PRANDIMET,12.0

OSMOPREP,20.0

CAPTOPRIL-HYDROCHLOROTHIAZIDE,12.0

SOMATULINE DEPOT,13.0

ELOCON,12.5

TL G-FOL OS,17

VIDAZA,15.0

INTERMEZZO,13.0

TENIVAC,14.0

DALIRESP,19.0

REPREXAIN,12.0

CLINDAMYCIN HCL,16.0

CIPROFLOXACIN ER,14

CIPROFLOXACIN HCL,19.0

CONCEPT DHA,12

PHENTERMINE HCL,13.0

PRENATAL PLUS,14.0

TESTRED,14

MELOXICAM,28.0

STELARA,12.0

TICLOPIDINE HCL,12.0

ABILIFY,38.0

ZIRGAN,12

ACZONE,13.0

GENTAMICIN SULFATE IN NS,11

COMFORT EZ,13.0

DELZICOL,15.0

FOSINOPRIL SODIUM,14.0

NULYTELY WITH FLAVOR PACKS,16.0

FIORICET WITH CODEINE,13.0

SEROSTIM,15.0

NEPHRON FA,21.0

ENALAPRIL MALEATE,22.0

ROBINUL,27

OXYCODONE CONCENTRATE,11.5

SULFAMETHOXAZOLE-TRIMETHOPRIM,18.0

DEMECLOCYCLINE HCL,13.0

XIFAXAN,18.0

NEURONTIN,12.0

VICODIN HP,13.0

BEYAZ,14.0

CORDARONE,12.0

BIDIL,15.0

TYLENOL-CODEINE NO.4,13.0

AMPHOTERICIN B,23.0

DICLOFENAC SODIUM,20.0

DEXEDRINE,12.0

ADDERALL XR,13.0

OPANA ER,24.0

AMBIEN CR,12.0

ANDROID,13

CARAC,19.0

PROTONIX,12.0

DILTIAZEM 24HR CD,20.0

LIDOCAINE HCL,17.0

LEVOCARNITINE,14.0

PRENATABS FA,12.0

WEBCOL,12.0

AMINOCAPROIC ACID,12.0

ANGELIQ,12.0

DELESTROGEN,11.5

TIMOPTIC,11

PROPYLTHIOURACIL,14.0

LEVOCETIRIZINE DIHYDROCHLORIDE,17.0

HYDROXYZINE PAMOATE,23.0

BETAPACE,12.0

ANASPAZ,14

QUINAPRIL HCL,18.0

ISTALOL,12.0

DOBUTAMINE HCL IN DEXTROSE,24.0

FLAVOXATE HCL,12.0

AVONEX ADMINISTRATION PACK,13.0

NAPROXEN SODIUM,16.0

GLIPIZIDE-METFORMIN,14.0

INNOPRAN XL,12.0

RIZATRIPTAN,15.0

ARISTOSPAN,33

DESOGEN,15

CITALOPRAM HBR,30.0

MESTINON,14.0

DESMOPRESSIN ACETATE,14.0

AMCINONIDE,16.0

PREPOPIK,18.0

SOVALDI,17.0

HUMULIN 70-30,17.0

CLIMARA PRO,13.0

PREVPAC,13.5

AVALIDE,12.0

ROBINUL FORTE,12.0

SPIRONOLACTONE,25.0

SELENIUM SULFIDE,16.0

NUTROPIN AQ NUSPIN,14.0

MARPLAN,12.0

MEKINIST,14.0

PROZAC,12.0

TRAZODONE HCL,32.0

NITROMIST,24

ALZ-NAC,16.0

METHAZOLAMIDE,14.5

MIMVEY,13.0

FALMINA,14.0

NIACOR,12.0

FLUTAMIDE,13.0

NOXAFIL,14.0

PROPANTHELINE BROMIDE,12.0

VASCULERA,11.0

EFUDEX,13

PROMETHEGAN,13.0

BIFERA RX,11.0

ZOMIG ZMT,13.0

QUILLIVANT XR,18

NOVOLOG,24.0

AUVI-Q,14.0

QUESTRAN,12.0

DUETACT,13.0

STERI-PAD,17

BYSTOLIC,23.0

ENULOSE,21.0

PROTOPIC,14.0

ERTACZO,17.0

CYSTAGON,18.0

RECLIPSEN,13.0

LUMIGAN,18.0

TEKTURNA,14.0

PHENYTEK,13.0

RITALIN,12.0

AMIODARONE HCL,28.0

JOLESSA,12

PRIVIGEN,17.0

RIMANTADINE HCL,21.5

DISULFIRAM,13.0

LOSARTAN POTASSIUM,38.0

DIFLORASONE DIACETATE,15.0

CLONIDINE HCL,23.0

VANISHPOINT,20.0

ROZEREM,13.0

ZELBORAF,13.0

VICTOZA 3-PAK,25.0

ARANELLE,13.0

DIFLUNISAL,20.0

SPIRONOLACTONE-HCTZ,18.0

TIMENTIN,11

PINDOLOL,13.5

RAPAMUNE,17.0

PARAFON FORTE DSC,13.0

METROGEL,13.0

DEMEROL,12.0

ALIMTA,14.5

BICALUTAMIDE,17.0

DUREZOL,14.0

TRAMADOL HCL-ACETAMINOPHEN,19.0

TOLAZAMIDE,12.0

ATACAND,13.0

DRONABINOL,15.0

NICARDIPINE HCL,12.5

MYCAMINE,14.5

TROPICAMIDE,24.5

VYVANSE,15.0

BETAMETHASONE DIPROPIONATE,16.0

ZONEGRAN,13.0

ZATEAN-PN,11

HUMULIN R,20.0

BP 10-1,12

ULTRAM,12.0

ZENCHENT,13.0

ZOLMITRIPTAN,12.0

METRONIDAZOLE,16.0

LITHOSTAT,19.5

EXALGO,20.0

OXECTA,37

BUPROPION XL,27.0

FOSTEUM,15

CARTEOLOL HCL,13.0

ZOLPIDEM TARTRATE,28.0

METHYCLOTHIAZIDE,12.0

SAMSCA,12.0

TOBRAMYCIN SULFATE,15.0

MOXEZA,14

WELCHOL,17.0

DERMOTIC,15.0

PEGANONE,12.5

DYRENIUM,12.0

VIREAD,20.0

FLURBIPROFEN,16.0

FORTAMET,12.0

ICLUSIG,15.0

HYDROCHLOROTHIAZIDE,35.0

AVANDAMET,17.5

ORTHO-CYCLEN,12.0

BRIMONIDINE TARTRATE,19.0

ALCOHOL SWAB,13.0

NECON,13.0

TAMSULOSIN HCL,24.0

TRUEPLUS INSULIN SYRINGE,17.0

KORLYM,13.0

CLINDAMYCIN PHOS-BENZOYL PEROX,11

ZOLINZA,11

PULMICORT,14.0

ARALAST NP,13.0

NAPRELAN,14.0

FLURAZEPAM HCL,13.0

PROZAC WEEKLY,12.5

STROVITE PLUS,11.0

TRANDOLAPRIL,13.0

COMTAN,14.0

AZULFIDINE,12.0

TEKAMLO,12.0

SYEDA,13.0

NYAMYC,17.0

DESONIDE,21.0

CENESTIN,12.0

ZANAFLEX,12.0

BUTALBITAL COMPOUND-CODEINE,13.0

EPIPEN 2-PAK,16.0

HEPARIN SODIUM,22.0

NEPHPLEX RX,15.0

LACRISERT,12.5

DDAVP,12.0

FRAGMIN,14.0

KALETRA,22.0

VIMOVO,15.0

ZOSTAVAX,16.0

SEROQUEL XR,26.0

NYSTATIN,17.0

EPIVIR,14.0

EMTRIVA,15.0

LOESTRIN 24 FE,12.0

AMBIEN,12.0

PREVIDENT,14.0

PLAQUENIL,13.0

POLY-IRON 150 FORTE,11.0

IPOL,16.0

UNIFINE PENTIPS PLUS,16.0

FANAPT,18.0

ZYPREXA RELPREVV,22.0

KLONOPIN,12.0

VALIUM,12.0

ELMIRON,15.0

FLUOXETINE HCL,27.0

LIVALO,15.0

ETODOLAC,19.0

ABSTRAL,11

CORVITE FE,17.0

PROMETHAZINE VC,18.0

STRATTERA,15.0

ECONAZOLE NITRATE,23.0

AMPICILLIN SODIUM,15.5

KLOR-CON 10,17.0

CLINIMIX,18

FLAGYL ER,14

ROWASA,11.5

PARCOPA,12.0

RENVELA,56.0

REGLAN,13.0

PHOSPHA 250 NEUTRAL,15.0

BOTOX,16.0

ACYCLOVIR,17.0

DANTRIUM,12.0

NALBUPHINE HCL,14.0

ISRADIPINE,13.0

MICRO-K,13

AMLODIPINE BESYLATE,54.0

PROVERA,12.0

DOXYCYCLINE HYCLATE,18.0

BUPRENEX,15.0

APRI,13.0

CARBINOXAMINE MALEATE,17.0

PEG 3350-ELECTROLYTE,23.0

REPAGLINIDE,16.0

PRAVACHOL,12.0

ISOSORBIDE MONONITRATE ER,33.0

LETROZOLE,32.0

CYTRA-2,14.0

GLYBURIDE-METFORMIN HCL,18.0

MORPHINE SULFATE,20.0

CAMBIA,14.5

AMETHYST,12.0

PRINIVIL,12.0

FERREX 150 FORTE PLUS,11.0

INVIRASE,13.0

CO-GESIC,12

ALDURAZYME,12.0

MAXZIDE,12.0

KLOR-CON-EF,12.0

ERIVEDGE,12.5

XENAZINE,15.0

KETOCONAZOLE,20.0

UNIRETIC,11.0

GLUCAGEN,17.0

DIVALPROEX SODIUM ER,32.0

GLUCOTROL XL,12.0

RAPAFLO,19.0

ATORVASTATIN CALCIUM,48.0

GENOTROPIN,14.0

DIHYDROERGOTAMINE MESYLATE,16.0

CLINISOL,36.0

INVOKANA,17.0

HUMALOG MIX 50-50,21.0

PYLERA,13.0

PROPRANOLOL-HYDROCHLOROTHIAZID,12.0

ZYCLARA,16.0

ALDACTONE,12.0

ATROVENT HFA,15.0

TOBRAMYCIN,14.0

NITRO-BID,14.0

METHYLPHENIDATE HCL CD,12.0

PHENYTOIN,17.0

PANCREAZE,12.0

AMPICILLIN TRIHYDRATE,16.0

KARIVA,13.0

HYDROCORTISONE VALERATE,17.0

SPORANOX,27.0

GAMMAGARD LIQUID,19.0

MONOJECT INSULIN SYRINGE,14.0

BREO ELLIPTA,17

DILANTIN,19.0

PULMOZYME,12.0

METOPROLOL SUCCINATE,43.0

SUCLEAR,18.0

ANTARA,13.0

LEVEMIR FLEXPEN,23.0

MORPHINE SULFATE ER,25.0

GASTROCROM,15.0

FE C,12.0

ADACEL TDAP,19.0

DANAZOL,13.0

ZEGERID,12.0

AVONEX,17.0

ACETAMINOPHEN-BUTALBITAL,25

DIALYVITE 5000,11

CEFAZOLIN SODIUM,16.0

MIGERGOT,12.0

GLIPIZIDE,23.0

BETASERON,16.0

LOESTRIN FE,17

TOPICORT,18

ESTAZOLAM,15.0

OMNARIS,13.0

BACLOFEN,24.0

FACTIVE,19

TAZTIA XT,14.0

CHLORPROPAMIDE,11.5

STRIBILD,20.0

TAMIFLU,21.0

AMOXICILLIN-CLAVULANATE ER,15.0

L-METHYL-B6-B12,12.0

OXALIPLATIN,17.0

INSULIN PEN NEEDLE,24

MINOXIDIL,19.0

JANUVIA,25.0

THINPRO INSULIN SYRINGE,11.0

DEFEROXAMINE MESYLATE,21.5

UNITHROID,12.0

TENORETIC 100,11

TRICITRATES,11

MILLIPRED,15.0

RANEXA,26.0

THIORIDAZINE HCL,14.0

LEFLUNOMIDE,44.0

ADVICOR,12.0

OCTREOTIDE ACETATE,13.0

PRIMIDONE,27.0

ORAP,12.0

DETROL LA,15.0

SORINE,17

ONFI,20.0

VIRAMUNE,12.0

RAZADYNE,12.5

TROSPIUM CHLORIDE ER,14.0

GLYBURIDE MICRONIZED,13.0

PROPAFENONE HCL,22.0

GATIFLOXACIN,14.0

MESNA,13.0

CYSTADANE,15.0

EFFIENT,21.0

FAMVIR,11

ESTRADIOL,19.0

ONDANSETRON ODT,16.0

DICYCLOMINE HCL,21.0

SYNRIBO,40

SODIUM BICARBONATE,15.0

IMIPRAMINE PAMOATE,12.0

PYRIDOSTIGMINE BROMIDE,19.0

PEG-3350,13.5

FENTANYL CITRATE,15.0

NADOLOL-BENDROFLUMETHIAZIDE,12.0

BENICAR HCT,17.0

LIDOCAINE,18.0

CATAPRES-TTS 2,12.0

EXELON,27.0

MICROZIDE,12.0

NIMODIPINE,13.0

ADVAIR HFA,18.0

NEXIUM I.V.,25.0

PROCTOCORT,13.0

TRIADVANCE,23

DIALYVITE ZINC,12.0

TINIDAZOLE,23.0

OXYTROL,13.0

FOLIC ACID,19.0

DUTOPROL,12.0

IRINOTECAN HCL,17.0

BROVANA,13.0

BENAZEPRIL-HYDROCHLOROTHIAZIDE,14.0

TRINESSA,13.0

MIDODRINE HCL,17.0

DONEPEZIL HCL ODT,13.0

PEGINTRON REDIPEN,14.0

ATROVENT,12.0

CRESTOR,33.0

ULORIC,19.0

METOCLOPRAMIDE HCL,19.0

DORYX,21

RIBAVIRIN,16.0

CIPRO,16.5

PRAMIPEXOLE DIHYDROCHLORIDE,21.0

XOPENEX HFA,16.0

PERFOROMIST,14.0

XALKORI,12.0

TRIHEXYPHENIDYL HCL,20.0

LOTRISONE,12

ERRIN,13.0

SOMNOTE,23

RABEPRAZOLE SODIUM,11.5

URIBEL,16.0

DIOVAN HCT,15.0

CARBOPLATIN,15.0

TOVIAZ,15.0

NEULASTA,18.0

REQUIP XL,15.0

LUMIZYME,24.0

AZACTAM,13.0

MIRCETTE,15.0

TEV-TROPIN,12.0

LYRICA,24.0

MARINOL,12.0

RYBIX ODT,13

SILVER SULFADIAZINE,16.0

FLUOROMETHOLONE,16.0

OXANDROLONE,14.0

PROBENECID,13.0

STARLIX,11.0

E.E.S. 400,13.0

VIRACEPT,13.0

FOLPLEX 2.2,13.0

NATAZIA,13

NITROSTAT,26.0

FLUVASTATIN SODIUM,12.0

BERINERT,17.0

COLAZAL,12.0

DEXTROSE 5%-1/2NS-KCL,12

TREZIX,13.0

CARDIZEM CD,12.0

LEVOTHROID,14.0

GLIPIZIDE ER,19.0

VICTOZA 2-PAK,18.0

PREZISTA,33.0

CHENODAL,17.5

HYOMAX-SL,11

ASCOMP WITH CODEINE,13.0

XODOL 10-300,12

SECTRAL,12.5

GLUCOTROL,12.0

INTEGRA PLUS,12.0

SINEMET CR,12.0

SEROQUEL,13.0

TRIAMTERENE-HCTZ,20.0

UNIVASC,11.5

LIPOFEN,13.0

POTASSIUM CHLORIDE-NACL,23.0

VANCOMYCIN HCL,21.0

VOL-PLUS,14.5

INDOCIN,25.5

SYLATRON,11.0

PAROXETINE HCL,23.0

NEPHRO-VITE RX,11.5

DEMADEX,12.5

EASY TOUCH ALCOHOL PREP PADS,23.5

MONO-LINYAH,11.0

PREVACID,13.0

CIMZIA,14.0

DEXTROAMPHETAMINE-AMPHETAMINE,17.0

ACTIVELLA,12.0

GRANISETRON HCL,16.5

RIVASTIGMINE,16.0

FLUOCINONIDE-E,15.0

NORDITROPIN NORDIFLEX,13

ETIDRONATE DISODIUM,34.0

SOLIRIS,23.0

METHIMAZOLE,26.0

IMITREX,13.0

VIAGRA,16.0

QUESTRAN LIGHT,12

BANZEL,15.0

PROTONIX IV,30.0

VERAPAMIL ER PM,12.0

CARTIA XT,17.0

DEXAMETHASONE SODIUM PHOSPHATE,19.0

SALICYLIC ACID,18.5

MAXAIR AUTOHALER,12.0

DEXTROSE WITH SODIUM CHLORIDE,17.0

SURE-JECT INSULIN SYRINGE,11

ANDRODERM,13.0

AMITIZA,19.0

FOLCAL DHA,12

DESOXIMETASONE,18.0

AMILORIDE-HYDROCHLOROTHIAZIDE,13.0

RENO CAPS,15.0

DOXEPIN HCL,18.0

ERGOLOID MESYLATES,12.5

AXONA,12.0

DESVENLAFAXINE ER,11.5

INCONTROL,22.0

ERYTHROMYCIN-BENZOYL PEROXIDE,14.0

ZIPSOR,14.0

VALPROATE SODIUM,27.5

NUEDEXTA,20.0

TAMOXIFEN CITRATE,30.0

HALOBETASOL PROPIONATE,18.0

PREVIDENT 5000 ENAMEL PROTECT,13.0

BRIELLYN,13.0

BENZONATATE,15.0

DEXAMETHASONE,22.0

TERCONAZOLE,15.0

HYDROCODONE-HOMATROPINE MBR,13.0

L-METHYL-MC,16.0

FOSAMAX,12.0

METHYLPHENIDATE ER,15.0

PLASMA-LYTE A PH 7.4,24

POTIGA,18.0

NASACORT AQ,12.0

ESTROPIPATE,12.0

METFORMIN HCL,40.0

FAZACLO,24.0

PENTAM 300,11.0

MEGESTROL ACETATE,18.0

VIDEX,11.0

VIVELLE-DOT,17.0

LATUDA,23.0

MS CONTIN,13.0

MYZILRA,13.0

FOLCAPS,11.0

HYDROXYZINE HCL,17.0

PAXIL,12.0

PRED MILD,13.0

JANTOVEN,21.0

XANAX XR,13.0

CENTANY,17

SODIUM ACETATE,11

CODEINE SULFATE,12.5

MACRODANTIN,13.0

FENOFIBRIC ACID,15.0

BUPRENORPHINE-NALOXONE,20.0

DEPEN,13.5

ADVOCATE PEN NEEDLES,14.0

ANDROGEL,18.0

DEPAKOTE ER,14.5

BUSPIRONE HCL,25.0

MENEST,12.0

EXTAVIA,13.0

VERAPAMIL HCL,13.0

SILVADENE,24.0

METAPROTERENOL SULFATE,12.0

DEPAKOTE SPRINKLE,12.0

SAPHRIS,19.0

TETANUS TOXOID ADSORBED,11

MIRAPEX ER,15.0

AZITHROMYCIN,21.0

HALOPERIDOL LACTATE,17.0

NORA-BE,13.0

FML FORTE,12.5

METAXALONE,15.0

EPROSARTAN MESYLATE,12.0

CREON,17.0

VENLAFAXINE HCL,17.0

PHENELZINE SULFATE,12.0

DEXAMETHASONE INTENSOL,11

OXYCODONE HCL-ACETAMINOPHEN,25.0

LEXAPRO,13.0

VINORELBINE TARTRATE,14.0

HEPARIN SODIUM-D5W,15

BRILINTA,18.0

FOSRENOL,18.0

MIRAPEX,12.0

AVIANE,12.0

TEFLARO,16.5

LESCOL,12.0

TRIAZOLAM,14.0

ESTRACE,19.0

HYDROXYCHLOROQUINE SULFATE,71.0

PHENYTOIN SODIUM EXTENDED,20.0

GUANFACINE HCL,15.0

ORACIT,12.0

UREA,16.0

SODIUM FLUORIDE,16.0

ETHAMBUTOL HCL,16.0

TRANSDERM-SCOP,16.0

MERCAPTOPURINE,16.0

DARAPRIM,12.0

BETOPTIC S,12.0

FOCALIN XR,12.0

ALDACTAZIDE,12.0

FINASTERIDE,19.0

PROCHLORPERAZINE MALEATE,22.0

STALEVO 100,13.0

MYRBETRIQ,18.0

ALINIA,18.0

ROPINIROLE HCL,22.0

CALCITRIOL,28.0

HIPREX,12

INCIVEK,13.0

VENTOLIN HFA,20.0

NEPHROCAPS,12.0

RITALIN-SR,12.0

RYTHMOL,11.5

ATENOLOL,32.0

USTELL,12.5

REMICADE,16.0

VASCEPA,17.0

TRELSTAR,15.0

GAVILYTE-G,23.0

FERREX 150 FORTE,12.0

CRIXIVAN,12.0

FLECAINIDE ACETATE,24.0

BROMFED DM,11.0

CARISOPRODOL,22.0

OXISTAT,16.0

