medicine,South,Midwest,West,Northeast
b'HECTOROL',162,71,71,86

b'FABB',3,0,3,9

b'LORZONE',5,2,0,4

b'XALKORI',14,12,14,16

b'TACROLIMUS',387,249,342,268

b'XGEVA',5,4,15,29

b'ENDODAN',0,0,1,0

b'ORACIT',1,0,0,1

b'SELENIUM SULFIDE',57,37,33,42

b'MYFORTIC',132,83,78,73

b'HALOG',2,0,1,0

b'VIBRAMYCIN',0,3,6,1

b'FIRAZYR',3,2,1,3

b'DERMATOP',0,0,1,0

b'EFFEXOR XR',286,209,186,290

b'SARAFEM',2,2,0,0

b'ELOCON',1,0,1,0

b'DEXTROSE WITH SODIUM CHLORIDE',31,30,39,54

b'TERUMO INSULIN SYRINGE',0,0,0,1

b'AVINZA',255,93,56,80

b'TOPCARE ULTRA COMFORT',1,1,0,0

b'DYRENIUM',25,16,29,17

b'NOVOFINE 32',468,168,185,404

b'TRILEPTAL',218,150,76,165

b'PENTAM 300',0,0,0,3

b'ZOLADEX',0,0,0,1

b'LIVALO',605,241,192,348

b'FLUPHENAZINE HCL',1557,1158,853,1701

b'NASONEX',2127,824,876,1504

b'GAVILYTE-N',900,476,476,441

b'CLARINEX-D 12 HOUR',1,2,0,0

b'TEKAMLO',24,5,8,10

b'VERAPAMIL ER',4506,2216,1921,2845

b'NORDITROPIN NORDIFLEX',0,0,0,1

b'NEOMYCIN SULFATE',64,32,44,25

b'GILENYA',318,235,149,165

b'SURE-PREP ALCOHOL PREP PADS',2,5,1,15

b'AMETHYST',7,0,0,1

b'ACTOPLUS MET XR',7,2,5,5

b'LUVOX CR',49,32,18,19

b'ASCOMP WITH CODEINE',45,37,14,32

b'KALYDECO',2,3,3,2

b'KUVAN',5,4,4,3

b'IBUPROFEN',7914,4266,6039,5472

b'EDURANT',54,13,15,53

b'MAGNACET',0,3,0,1

b'COMBIPATCH',48,12,28,17

b'HALCION',3,2,4,0

b'POTIGA',57,55,19,25

b'DEXAMETHASONE',2407,1575,1211,1468

b'VICODIN ES',33,29,8,35

b'ORENCIA',282,146,152,151

b'FEXOFENADINE HCL',2,0,2,3

b'DICLOFENAC SODIUM',3205,1210,1473,1165

b'ATELVIA',373,105,206,266

b'METROCREAM',1,0,0,0

b'FLUMAZENIL',1,0,0,0

b'ONDANSETRON ODT',1371,461,545,346

b'ALBUTEROL SULFATE',635,498,468,665

b'CUVPOSA',1,0,0,1

b'HALDOL DECANOATE 50',2,0,1,2

b'ULTILET INSULIN SYRINGE',2,0,0,0

b'MILRINONE IN 5% DEXTROSE',1,0,0,0

b'ARAVA',7,4,4,5

b'L-MEFOLATE-PYRIDOX-MECOBALAMIN',2,0,0,0

b'CATAPRES-TTS 2',25,17,13,24

b'PLAVIX',547,204,264,507

b'RAPAFLO',181,70,103,162

b'THEOPHYLLINE ANHYDROUS',1228,629,500,574

b'EXTAVIA',11,18,40,12

b'PERSANTINE',1,0,0,1

b'KETOCONAZOLE',1662,700,850,1091

b'NORVIR',976,448,469,777

b'RHEUMATREX',0,0,0,2

b'INSULIN PEN NEEDLE',1,0,0,0

b'THALOMID',143,60,64,63

b'QUINAPRIL HCL',2901,1325,865,2722

b'MARLISSA',0,1,0,1

b'VFEND IV',0,0,1,0

b'ETIDRONATE DISODIUM',1,0,1,4

b'RENO CAPS',15,15,0,14

b'EFUDEX',0,0,1,0

b'CIPROFLOXACIN ER',0,0,0,1

b'AVONEX PEN',332,287,171,238

b'GENERLAC',499,201,257,124

b'ULTRAM',21,7,7,10

b'SALSALATE',112,104,51,49

b'ZIPSOR',15,4,0,8

b'CARISOPRODOL',3040,921,1850,957

b'ISORDIL',16,4,4,5

b'MICROZIDE',2,1,1,3

b'RITALIN',20,21,17,33

b'PAMELOR',2,1,0,5

b'AVAPRO',72,28,33,78

b'BROVANA',28,13,9,13

b'VAGIFEM',531,206,361,418

b'ARANESP',98,85,81,174

b'PARNATE',1,8,2,9

b'NICOTROL NS',14,8,0,10

b'EDARBYCLOR',89,15,72,49

b'TOBRAMYCIN-DEXAMETHASONE',97,55,47,95

b'CATAPRES',10,3,1,5

b'TREXIMET',39,13,10,30

b'LODOSYN',98,98,90,88

b'ERYTHROMYCIN-BENZOYL PEROXIDE',6,2,3,32

b'RAZADYNE ER',3,2,3,1

b'PODOFILOX',1,1,1,1

b'HYDROCODONE-HOMATROPINE MBR',16,13,1,25

b'APTIVUS',33,10,11,22

b'KIONEX',184,114,120,80

b'CHOLESTYRAMINE LIGHT',93,66,44,35

b'DIOVAN',9369,4042,4531,6881

b'DEMEROL',8,0,1,6

b'BUDEPRION XL',28,8,1,43

b'BACIIM',0,0,0,1

b'PREVALITE',90,45,35,69

b'VANCOMYCIN HCL',695,568,334,466

b'PENTAZOCINE-NALOXONE HCL',78,16,7,11

b'KRISTALOSE',54,11,16,45

b'SYNERA',0,1,0,0

b'MAXIDEX',0,0,0,1

b'ALCOHOL WIPES',0,0,0,6

b'EDARBI',111,11,69,58

b'LO LOESTRIN FE',3,0,2,8

b'TRAVASOL',6,5,9,9

b'ESCITALOPRAM OXALATE',11734,6185,5878,8337

b'DIVIGEL',23,5,15,8

b'METADATE ER',0,0,1,0

b'ACCOLATE',5,2,4,4

b'CELLCEPT',89,62,40,60

b'CARBATROL',293,234,134,223

b'CENTANY AT',0,0,0,1

b'POLYMYXIN B SUL-TRIMETHOPRIM',18,12,15,15

b'CICLOPIROX',580,271,304,699

b'AVANDIA',3,0,3,3

b'VESICARE',2026,1054,961,1231

b'SANTYL',528,280,273,639

b'HYDROCORTISONE-ACETIC ACID',13,8,12,13

b'SABRIL',11,7,5,8

b'LORCET 10-650',11,2,1,1

b'ERTACZO',6,2,2,12

b'SULFADIAZINE',8,1,5,7

b'CAMRESE LO',0,0,0,1

b'BUPROPION XL',6386,4038,3982,5146

b'CAMPRAL',52,77,31,33

b'ESGIC-PLUS',0,0,0,1

b'TEVETEN HCT',1,1,1,1

b'TRANDOLAPRIL',449,181,109,78

b'SULFACETAMIDE-PREDNISOLONE',9,2,2,0

b'MESNA',1,1,1,0

b'GILDESS FE',22,3,11,12

b'CHLORDIAZEPOXIDE-AMITRIPTYLINE',107,26,10,18

b'TAZORAC',3,4,6,3

b'COSOPT',0,1,1,4

b'REPAGLINIDE',58,28,53,235

b'DILTIAZEM 24HR ER',4608,2840,2208,4124

b'ARTHROTEC 50',4,0,3,10

b'CORTEF',16,8,7,17

b'ZYFLO CR',27,23,14,19

b'BETAMETHASONE VALERATE',137,93,45,160

b'MIRCETTE',1,0,1,0

b'AVONEX',529,443,334,406

b'GLYSET',17,9,15,24

b'NUTROPIN AQ NUSPIN',16,7,9,3

b'LITHIUM',18,21,20,32

b'PENICILLIN GK-ISO-OSM DEXTROSE',1,1,1,0

b'MIMVEY',23,2,8,4

b'SOMNOTE',1,0,0,0

b'TRANYLCYPROMINE SULFATE',38,59,50,88

b'TRICITRATES',0,0,0,1

b'NOVOTWIST',93,30,26,68

b'EQUETRO',73,26,9,29

b'PULMOZYME',3,0,2,1

b'VIRT-VITE FORTE',0,0,0,1

b'NEOMYCIN-POLYMYXIN-HC',163,76,107,53

b'STALEVO 100',75,31,41,41

b'BETAMETHASONE DIPROPIONATE',298,185,203,384

b'ZEMPLAR',771,274,302,336

b'MIRAPEX ER',205,66,95,113

b'OGESTREL',3,8,4,3

b'CALAN',0,0,0,2

b'IBANDRONATE SODIUM',1492,574,701,967

b'JUVISYNC',4,3,2,0

b'OXYCODONE HCL-ASPIRIN',23,20,12,6

b'SODIUM ACETATE',1,0,0,0

b'DELESTROGEN',3,1,0,0

b'K-TAB ER',24,20,360,3

b'PIOGLITAZONE-GLIMEPIRIDE',16,0,6,5

b'CLARINEX',10,8,6,16

b'ISOSORBIDE MONONITRATE',654,217,151,192

b'TILIA FE',1,0,0,0

b'CYTOMEL',63,15,52,36

b'TRIFLURIDINE',0,1,1,0

b'YF-VAX',1,1,7,2

b'FLURBIPROFEN SODIUM',5,1,3,2

b'CIMETIDINE',189,88,105,56

b'HEPARIN SODIUM',62,81,94,159

b'ACTONEL',1342,550,812,1105

b'MAXZIDE-25 MG',2,1,0,0

b'PRANDIMET',5,0,0,4

b'BETHANECHOL CHLORIDE',262,168,147,147

b'CLINDAMYCIN HCL',6432,4404,2417,3220

b'ENTOCORT EC',5,5,2,6

b'SODIUM CHLORIDE',480,334,271,275

b'CORDARONE',2,2,0,2

b'BUDESONIDE',152,125,74,226

b'BUPRENORPHINE HCL',180,76,119,125

b'METHYLPREDNISOLONE SOD SUCC',29,22,16,25

b'XANAX',67,34,26,102

b'METHSCOPOLAMINE BROMIDE',108,25,5,36

b'ISOPTO CARPINE',0,0,0,1

b'ENBREL',1036,657,632,728

b'XOLAIR',51,22,28,58

b'CIPROFLOXACIN-D5W',4,5,3,4

b'LANTUS SOLOSTAR',4455,2577,2173,3245

b'BISOPROLOL-HYDROCHLOROTHIAZIDE',1277,509,210,528

b'CELONTIN',16,15,12,6

b'METAPROTERENOL SULFATE',3,1,2,2

b'HEPARIN SODIUM-D5W',0,0,1,0

b'ANUSOL-HC',0,1,0,0

b'FORADIL',337,190,119,204

b'FORTESTA',6,0,5,9

b'METHYLPHENIDATE SR',14,16,9,29

b'CYCLOBENZAPRINE HCL',8108,3753,2878,3305

b'INTERMEZZO',11,4,10,3

b'GRIS-PEG',2,1,2,3

b'FIORICET WITH CODEINE',1,1,1,1

b'NITROFURANTOIN',871,379,377,373

b'CONSTULOSE',33,11,27,14

b'BETAPACE',8,4,2,8

b'RIMSO-50',0,1,0,0

b'DILANTIN',1114,797,516,858

b'RESCRIPTOR',1,6,3,2

b'FOLGARD OS',0,1,0,2

b'PROZAC WEEKLY',11,9,4,12

b'ONGLYZA',1264,469,457,734

b'IMIPRAMINE HCL',966,676,532,682

b'AZOPT',90,50,56,72

b'AXERT',10,7,5,8

b'VELIVET',1,2,1,3

b'K-PHOS ORIGINAL',1,0,0,0

b'PACERONE',1607,711,299,231

b'ROPINIROLE HCL',5580,3238,2436,2468

b'TRICOR',219,174,127,233

b'GLYCOPYRROLATE',417,248,164,309

b'NP THYROID',4,0,2,0

b'DEXTROSE IN WATER',132,38,82,72

b'AZURETTE',7,5,1,1

b'L-METHYLFOLATE CALCIUM',15,3,0,12

b'DUREZOL',21,7,11,9

b'LOTRONEX',72,53,16,34

b'DARAPRIM',20,2,7,12

b'REVATIO',64,42,28,43

b'PORTIA',5,3,3,5

b'MYCOPHENOLATE MOFETIL',1159,781,764,676

b'VICODIN',30,28,38,42

b'FLAREX',0,0,0,1

b'EPIPEN 2-PAK',127,53,39,73

b'TOBRADEX',25,10,12,25

b'COPAXONE',1064,745,669,732

b'NAFCILLIN',0,1,0,1

b'PREVIDENT 5000 PLUS',19,10,17,27

b'INDOMETHACIN',664,268,269,238

b'OXCARBAZEPINE',3812,2764,1934,2903

b'GLUCOTROL XL',13,8,3,17

b'DUEXIS',12,3,4,8

b'BICILLIN L-A',5,3,1,3

b'GLUCOPHAGE XR',11,4,15,25

b'CIPROFLOXACIN HCL',10303,4704,4491,4668

b'JINTELI',31,12,10,10

b'AVELOX',320,139,99,311

b'TRIMETHOPRIM',193,172,72,80

b'AUVI-Q',2,0,0,0

b'RAPAMUNE',109,101,70,60

b'OXYTOCIN',0,1,0,0

b'TESTOSTERONE CYPIONATE',522,162,270,122

b'SANCTURA',1,0,1,0

b'DIGOXIN',4078,2264,2066,2072

b'DETROL LA',1326,818,705,991

b'PROCRIT',419,197,484,508

b'CLINDAGEL',1,0,0,1

b'MEGACE ES',109,32,38,73

b'SSKI',0,1,0,0

b'SELEGILINE HCL',268,183,217,274

b'PERINDOPRIL ERBUMINE',60,17,18,41

b'TOFRANIL',0,0,0,2

b'TIZANIDINE HCL',5047,2136,1551,1634

b'PROPRANOLOL-HYDROCHLOROTHIAZID',23,14,2,6

b'ZOLOFT',75,56,50,122

b'ACARBOSE',246,117,218,251

b'PREDNISOLONE SODIUM PHOSPHATE',16,5,3,2

b'DEPAKOTE',220,209,128,226

b'FAMCICLOVIR',124,47,82,98

b'GABAPENTIN',22145,12018,12021,13435

b'REMEVEN',0,0,1,0

b'SURMONTIL',4,4,1,3

b'AMIODARONE HCL',4964,2795,2515,2934

b'ACTIMMUNE',4,0,1,3

b'EXJADE',148,92,85,55

b'ED-SPAZ',1,0,0,0

b'BELVIQ',0,0,0,1

b'TROSPIUM CHLORIDE',96,87,106,103

b'NOVAREL',0,0,1,0

b'VORICONAZOLE',60,36,47,43

b'IMDUR',9,8,3,14

b'VOLTAREN',3522,1168,1604,2005

b'DICLOFENAC SODIUM-MISOPROSTOL',176,68,39,133

b'CEFPROZIL',90,37,11,30

b'PROLASTIN C',70,65,31,42

b'LIPITOR',413,162,368,876

b'XOPENEX CONCENTRATE',0,0,1,0

b'DILTZAC ER',3,0,0,0

b'KLONOPIN',46,43,28,116

b'AIMSCO ULTRA THIN II',0,1,0,0

b'LAMICTAL',534,380,279,480

b'SEREVENT DISKUS',177,199,203,203

b'NOVOLIN 70-30',1511,528,491,422

b'CLEOCIN',0,0,0,2

b'ZETONNA',15,2,1,17

b'FORTAMET',5,2,10,13

b'ORTHO EVRA',16,11,2,14

b'PRED FORTE',4,2,0,1

b'AZITHROMYCIN',11447,5777,5408,6231

b'MULTIGEN',3,4,1,2

b'CLOZARIL',111,156,66,192

b'ISOSORBIDE MONONITRATE ER',8408,4784,3593,5617

b'AMILORIDE-HYDROCHLOROTHIAZIDE',122,88,47,99

b'DOXORUBICIN HCL',0,1,0,2

b'ULORIC',1413,573,704,788

b'MATULANE',0,1,0,1

b'BD INSULIN SYRINGE ULT-FINE II',0,0,0,2

b'FEROCON',1,1,0,0

b'ZELAPAR',22,6,10,19

b'ALPRAZOLAM ER',257,197,86,247

b'AZACTAM-ISO-OSMOTIC DEXTROSE',0,3,0,0

b'LACLOTION',4,4,1,89

b'PREMPHASE',8,4,3,3

b'SPRINTEC',48,31,9,24

b'MAXAIR AUTOHALER',5,8,2,9

b'FLOMAX',15,4,16,35

b'KETOROLAC TROMETHAMINE',203,71,65,65

b'FML S.O.P.',1,0,0,0

b'ZOMIG',31,23,28,22

b'FANAPT',446,392,230,194

b'ZELBORAF',18,9,15,8

b'L-METHYLFOLATE',0,0,0,1

b'CALCITRIOL',2399,1303,1300,1516

b'JALYN',150,37,86,76

b'SYMLINPEN 60',16,14,13,6

b'MECLIZINE HCL',3320,1236,962,1851

b'FLAGYL ER',0,0,0,1

b'DANTROLENE SODIUM',73,56,48,55

b'LUTERA',12,5,12,10

b'PHOSLYRA',57,22,15,10

b'TRI-SPRINTEC',50,23,25,21

b'VIRT-PN DHA',0,1,0,0

b'RECTIV',1,0,0,3

b'BACMIN',3,0,0,0

b'ALENDRONATE SODIUM',7449,4339,5100,5150

b'METHYLERGONOVINE MALEATE',2,2,2,1

b'OXYCONTIN',2743,1768,1861,2481

b'DIHYDROERGOTAMINE MESYLATE',11,8,2,14

b'HYCET',1,0,0,0

b'SODIUM CITRATE & CITRIC ACID',1,1,14,4

b'DIAZEPAM',7778,4346,4319,4965

b'MIACALCIN',3,3,3,10

b'TRIANEX',0,0,0,1

b'METHYCLOTHIAZIDE',7,1,3,4

b'MILLIPRED',9,3,0,1

b'COMETRIQ',2,0,1,0

b'AMLODIPINE BESYLATE',20620,10229,10347,12694

b'ROXICET',102,68,140,33

b'RISPERDAL CONSTA',1495,1257,965,1110

b'BRIELLYN',3,0,0,0

b'TERBINAFINE HCL',496,229,281,208

b'ANTABUSE',1,1,0,2

b'TIAZAC',11,2,8,8

b'OLANZAPINE',5519,3966,4389,5392

b'BUTISOL SODIUM',4,0,0,1

b'RENAGEL',232,126,232,179

b'MEPHYTON',0,1,1,4

b'BETAXOLOL HCL',34,22,17,30

b'COMPLERA',222,82,93,214

b'AGRYLIN',1,2,0,1

b'LETROZOLE',1735,952,891,1065

b'NICOTROL',17,32,9,26

b'HEATHER',6,1,0,2

b'METHIMAZOLE',1159,650,658,1046

b'SUMAVEL DOSEPRO',7,5,11,8

b'APOKYN',10,7,2,6

b'LUDENT FLUORIDE',0,2,0,1

b'CAPEX SHAMPOO',4,0,0,0

b'CORZIDE',1,0,0,1

b'STRIBILD',196,66,82,149

b'LOXAPINE',609,591,349,384

b'KEPPRA',527,380,241,386

b'LIALDA',839,518,442,718

b'NOVOFINE AUTOCOVER',52,84,19,109

b'SOLODYN',1,0,0,0

b'KLOR-CON',74,96,44,102

b'SOTALOL',3218,1757,1361,1817

b'SURE-JECT INSULIN SYRINGE',0,0,0,1

b'TOPAMAX',360,265,152,279

b'DILATRATE-SR',3,0,0,1

b'TRI-LEGEST FE',3,0,0,5

b'BENAZEPRIL HCL',5481,1906,3611,1424

b'REGLAN',0,1,0,2

b'LIDOCAINE HCL',318,199,156,202

b'METHYLPREDNISOLONE ACETATE',5,1,1,1

b'ALDURAZYME',1,0,1,0

b'RENA-VITE RX',18,3,1,12

b'TEVETEN',2,2,2,1

b'MEVACOR',0,1,0,0

b'DOXIL',0,0,0,2

b'VITAL-D RX',8,3,0,4

b'CAPTOPRIL-HYDROCHLOROTHIAZIDE',48,30,6,11

b'FLUOCINONIDE',636,327,604,596

b'SYNTHROID',5626,2414,2515,4015

b'MEPROBAMATE',32,11,18,36

b'ALLOPURINOL',9442,4992,4859,5597

b'H.P. ACTHAR',56,22,17,27

b'PROPAFENONE HCL',1675,888,723,532

b'TACLONEX',5,2,6,6

b'HUMULIN 70-30',1151,418,416,505

b'RESTASIS',344,200,198,320

b'ANDROID',0,0,1,0

b'TAMSULOSIN HCL',8012,3896,4608,5201

b'PHOSLO',1,0,2,0

b'CARISOPRODOL COMPOUND',0,0,0,1

b'SUBLIMAZE',1,0,0,0

b'DILTIAZEM HCL',1903,951,709,923

b'JUNEL FE',23,10,8,44

b'COSOPT PF',2,2,0,1

b'NUVIGIL',551,364,264,297

b'MIGERGOT',2,6,5,2

b'DEPEN',3,0,4,1

b'SYNRIBO',1,0,0,0

b'ORPHENADRINE CITRATE',178,123,35,63

b'SEROSTIM',20,2,21,14

b'YERVOY',0,0,1,0

b'GASTROCROM',1,1,2,0

b'URSO FORTE',4,1,3,5

b'ZONALON',3,1,0,2

b'NITRO-BID',20,10,22,6

b'ZOCOR',30,8,15,77

b'LACTATED RINGERS',6,4,9,4

b'DIALYVITE ZINC',2,1,0,0

b'VALSARTAN-HYDROCHLOROTHIAZIDE',5652,1891,1900,3441

b'CLODERM',2,1,0,1

b'LIDOCAINE HCL VISCOUS',293,166,123,146

b'ZOFRAN ODT',0,0,1,0

b'EPROSARTAN MESYLATE',3,1,0,1

b'STROVITE ONE',0,0,0,26

b'STALEVO 50',9,4,2,8

b'ELDEPRYL',0,0,0,2

b'COLAZAL',1,1,0,1

b'FENOPROFEN CALCIUM',7,3,2,0

b'PAXIL CR',33,23,22,49

b'AMPYRA',317,281,241,270

b'TOBI',1,1,2,0

b'BYSTOLIC',4806,2044,1739,2273

b'BUDESONIDE EC',906,668,500,435

b'MARINOL',1,2,2,2

b'LANSOPRAZOL-AMOXICIL-CLARITHRO',0,0,0,1

b'PHENYTOIN',458,385,239,392

b'TRADJENTA',1015,342,427,687

b'HYDROXYZINE PAMOATE',3473,1734,1394,1994

b'SORINE',1,0,0,0

b'ACETAMINOPHEN-CODEINE',3585,3051,2727,3316

b'PROCTO-PAK',0,1,1,4

b'CARVEDILOL',13946,6914,6571,7663

b'SOLU-MEDROL',28,10,14,20

b'TRACLEER',371,192,153,176

b'THERMAZENE',0,0,0,4

b'INCIVEK',32,12,6,8

b'HYDROCORTISONE',1363,924,1033,1069

b'ABSTRAL',0,0,1,0

b'TOBREX',1,2,2,2

b'LEVALBUTEROL HCL',55,37,46,40

b'ATENOLOL-CHLORTHALIDONE',1119,377,135,475

b'GRALISE',159,64,56,53

b'NUEDEXTA',325,187,143,209

b'CARDIZEM LA',27,25,17,34

b'CASODEX',1,0,1,0

b'INTEGRA PLUS',12,1,0,0

b'KEFLEX',1,0,1,0

b'GATIFLOXACIN',1,0,0,2

b'PROCTOSOL-HC',138,65,62,186

b'GENERESS FE',5,1,0,1

b'CLINDAMYCIN PALMITATE HCL',0,0,0,2

b'RESTORIL',3,4,7,6

b'TAZTIA XT',688,413,244,150

b'FLAVOXATE HCL',32,5,10,7

b'SPIRONOLACTONE',9499,5171,4767,5310

b'SODIUM POLYSTYRENE SULFONATE',106,47,101,97

b'BESIVANCE',14,4,5,2

b'XOPENEX',2,6,2,3

b'UNIFINE PENTIPS PLUS',0,0,0,13

b'KLOR-CON M15',11,4,6,8

b'OSENI',1,0,0,1

b'CHLORZOXAZONE',207,96,37,44

b'ZONEGRAN',100,57,42,63

b'FASLODEX',10,3,7,23

b'ASTEPRO',298,123,127,178

b'AMOXICILLIN-CLAVULANATE ER',16,7,9,6

b'STRIANT',1,0,0,1

b'SODIUM FLUORIDE',35,39,6,54

b'PROVENTIL HFA',509,294,230,453

b'ENOXAPARIN SODIUM',1179,886,661,1010

b'PHENTERMINE HCL',2,0,1,8

b'BETIMOL',7,5,1,2

b'SORIATANE',21,9,9,17

b'VGO 30',14,1,0,11

b'BERINERT',1,0,1,3

b'HYOSYNE',3,0,1,3

b'FROVA',29,6,18,25

b'CLOTRIMAZOLE-BETAMETHASONE',1660,631,485,1466

b'ADAPALENE',3,2,1,0

b'NOVOLOG',2225,1306,1386,1274

b'PARAFON FORTE DSC',1,1,1,0

b'VUSION',1,1,0,2

b'NIFEDIAC CC',159,57,97,76

b'PREVIDENT 5000',20,33,12,36

b'GRANISETRON HCL',17,17,5,39

b'GLIPIZIDE XL',1993,853,597,1772

b'RYTHMOL SR',70,14,30,30

b'VANISHPOINT',3,0,2,4

b'ARTHROTEC 75',9,9,9,18

b'GAMMAKED',12,3,8,7

b'FLUNISOLIDE',60,26,57,37

b'DIFICID',1,3,0,3

b'SUBOXONE',725,388,265,647

b'FAMOTIDINE',5264,2785,3267,3827

b'SEROQUEL',338,229,245,320

b'BUPHENYL',0,1,1,1

b'HALOPERIDOL DECANOATE 100',453,252,137,234

b'TINIDAZOLE',2,4,0,3

b'SIMBRINZA',1,0,0,0

b'MARPLAN',2,1,4,6

b'FERROCITE PLUS',2,0,0,0

b'UROXATRAL',4,3,9,12

b'RANEXA',3051,1435,974,1746

b'MICROGESTIN FE',34,19,17,33

b'TRIMETHOBENZAMIDE HCL',17,31,11,23

b'COMFORT EZ',1,2,1,17

b'LOSARTAN-HYDROCHLOROTHIAZIDE',7427,3057,2600,3864

b'PROSOL',330,89,162,210

b'VALCYTE',262,107,117,99

b'NITROLINGUAL',71,16,23,37

b'COMBIVENT',1177,567,429,563

b'MS CONTIN',18,4,13,18

b'TYLENOL-CODEINE NO.4',2,3,3,3

b'LEVORA-28',15,12,15,4

b'CYCLOSPORINE MODIFIED',200,145,137,123

b'APLENZIN',40,15,12,30

b'ERAXIS (WATER DILUENT)',0,0,1,0

b'CLARITHROMYCIN ER',68,18,18,40

b'FOLIC ACID',1201,536,343,1126

b'MEPERIDINE HCL',114,16,28,16

b'CITALOPRAM HBR',14184,8238,8073,9503

b'ARIXTRA',8,5,2,8

b'CORVITE 150',0,0,0,1

b'NAGLAZYME',0,1,0,0

b'KLOR-CON 8',620,175,834,210

b'BP 10-1',0,0,1,0

b'ADDERALL XR',77,105,89,92

b'SOMATULINE DEPOT',8,17,12,8

b'TOBRADEX ST',1,0,2,2

b'MULTIVITAMINS W-FLUORIDE-IRON',0,0,0,1

b'PEG-3350 AND ELECTROLYTES',640,317,480,380

b'ALYACEN',7,2,0,15

b'GENTAK',13,12,6,7

b'NICARDIPINE HCL',45,9,16,28

b'SURE COMFORT',298,121,186,162

b'TEKTURNA HCT',171,41,61,76

b'DURAGESIC',63,26,41,55

b'RELISTOR',59,16,25,30

b'NEFAZODONE HCL',219,201,140,208

b'MESNEX',1,1,1,0

b'DYMISTA',125,29,35,76

b'FIORICET',0,0,1,3

b'TRANEXAMIC ACID',1,1,1,2

b'AZULFIDINE',7,3,4,6

b'METHYLDOPA-HYDROCHLOROTHIAZIDE',9,6,1,0

b'CRESTOR',11457,5096,4348,7581

b'NILANDRON',13,3,11,15

b'PREVACID',307,120,105,246

b'GLASSIA',9,3,2,1

b'TRAVOPROST',0,0,0,2

b'PACLITAXEL',5,1,1,14

b'PANCREAZE',25,21,28,27

b'MINOXIDIL',1580,626,641,428

b'SIMCOR',236,55,73,84

b'PROMETRIUM',9,4,23,14

b'TOLTERODINE TARTRATE',136,122,78,134

b'LOFIBRA',0,1,0,0

b'DEPAKENE',15,7,4,14

b'LEVEMIR FLEXPEN',2619,1154,887,1521

b'JENTADUETO',71,6,30,42

b'MIRTAZAPINE',8151,5300,5000,6822

b'ANGELIQ',2,1,1,2

b'ZYCLARA',5,1,2,1

b'CORVITE FREE',0,0,0,4

b'ZUBSOLV',0,1,0,0

b'VIORELE',6,3,0,8

b'BELLADONNA-OPIUM',0,1,1,0

b'SINGULAIR',222,76,137,233

b'RISPERDAL',108,97,46,145

b'QUILLIVANT XR',0,0,0,1

b'NOVOLIN N',830,433,471,421

b'DEPAKOTE ER',398,304,189,307

b'ZEGERID',33,13,30,23

b'SULFAZINE EC',216,165,97,121

b'CORVITA 150',1,0,0,1

b'FENOFIBRIC ACID',444,117,116,184

b'RECLIPSEN',14,17,9,7

b'IRBESARTAN-HYDROCHLOROTHIAZIDE',359,122,129,271

b'AMLODIPINE BESYLATE-BENAZEPRIL',4726,1478,1227,2171

b'ELESTRIN',5,1,1,0

b'ATACAND HCT',12,3,8,15

b'ARICEPT',561,264,219,375

b'SYMBYAX',26,15,5,15

b'DORYX',0,0,0,1

b'XERESE',0,0,0,1

b'NIASPAN',3101,1569,1367,1710

b'BANZEL',91,102,45,74

b'VERAMYST',53,24,23,47

b'ZETIA',6177,3333,2675,4182

b'GATTEX',1,2,1,1

b'EXELDERM',0,0,0,1

b'EXFORGE',1836,410,566,786

b'LIOTHYRONINE SODIUM',713,356,691,381

b'MIDODRINE HCL',1496,906,638,757

b'FREAMINE III',0,0,0,1

b'TARKA',35,8,13,19

b'WATER',17,28,14,14

b'FENTANYL CITRATE',39,10,35,28

b'OXYMORPHONE HCL ER',253,52,42,65

b'EASY COMFORT INSULIN SYRINGE',0,0,0,1

b'RITALIN LA',15,13,10,18

b'TETANUS DIPHTHERIA TOXOIDS',2,1,1,1

b'VERAPAMIL ER PM',204,88,69,117

b'NATEGLINIDE',546,212,338,483

b'LIORESAL INTRATHECAL',0,0,0,1

b'PROCARDIA',0,1,0,0
